Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
5  ,2026-04-18,4536,Imported Upholstery,2460018
5  ,2026-04-18,8339,Domestic Bedding,3055808
ECR,2026-04-18,27234,Import Casegoods,4282022
ECR,2026-04-18,9341,Domestic Casegoods,935592
ECR,2026-04-18,31181,Upholstery,8994880
ECR,2026-04-18,5022,Import Bedding,849225
ECR,2026-04-18,21,Marketplace,0
ECR,2026-04-18,7872,Domestic Bedding,2598440
ECR,2026-04-18,4043,Imported Upholstery,2431252
1  ,2026-04-25,6780,Domestic Bedding,2272175
1  ,2026-04-25,3628,Imported Upholstery,1989400
1  ,2026-04-25,32919,Import Casegoods,4805790
1  ,2026-04-25,30550,Upholstery,8322642
1  ,2026-04-25,15338,Domestic Casegoods,1546778
1  ,2026-04-25,4943,Import Bedding,907021
15 ,2026-04-25,1912,Imported Upholstery,1106042
15 ,2026-04-25,7841,Domestic Casegoods,799712
15 ,2026-04-25,8226,Domestic Bedding,2959795
15 ,2026-04-25,18948,Upholstery,5083142
15 ,2026-04-25,4944,Import Bedding,862500
15 ,2026-04-25,14,Marketplace,0
15 ,2026-04-25,19878,Import Casegoods,3134876
17 ,2026-04-25,6543,Domestic Bedding,2306501
17 ,2026-04-25,8292,Domestic Casegoods,820198
17 ,2026-04-25,19153,Upholstery,5194560
17 ,2026-04-25,4169,Import Bedding,795816
17 ,2026-04-25,2713,Imported Upholstery,1630920
17 ,2026-04-25,26096,Import Casegoods,4304352
28 ,2026-04-25,3902,Import Bedding,713018
28 ,2026-04-25,14605,Import Casegoods,2315257
28 ,2026-04-25,1652,Imported Upholstery,1022273
28 ,2026-04-25,4635,Domestic Bedding,1638041
28 ,2026-04-25,4619,Domestic Casegoods,460262
28 ,2026-04-25,13283,Upholstery,3605296
335,2026-04-25,33004,Import Casegoods,5923412
335,2026-04-25,17,Domestic Casegoods,2740
335,2026-04-25,6176,Imported Upholstery,3480372
335,2026-04-25,298,Import Bedding,147580
335,2026-04-25,11801,Upholstery,3273351
42 ,2026-04-25,0,Upholstery,0
42 ,2026-04-25,0,Domestic Casegoods,0
42 ,2026-04-25,0,Import Casegoods,0
5  ,2026-04-25,3750,Imported Upholstery,2344788
5  ,2026-04-25,21865,Upholstery,6041182
5  ,2026-04-25,5632,Import Bedding,1050426
5  ,2026-04-25,7743,Domestic Bedding,2821064
5  ,2026-04-25,5453,Domestic Casegoods,552953
5  ,2026-04-25,18,Marketplace,0
5  ,2026-04-25,28181,Import Casegoods,4400189
ECR,2026-04-25,7600,Domestic Bedding,2477461
ECR,2026-04-25,10690,Domestic Casegoods,1044656
ECR,2026-04-25,20,Marketplace,0
ECR,2026-04-25,3541,Imported Upholstery,2173060
ECR,2026-04-25,29471,Import Casegoods,4823004
ECR,2026-04-25,4409,Import Bedding,774602
ECR,2026-04-25,32996,Upholstery,9173765
1  ,2026-05-02,18956,Domestic Casegoods,1885075
1  ,2026-05-02,7369,Domestic Bedding,2447139
1  ,2026-05-02,4625,Import Bedding,844124
1  ,2026-05-02,23422,Upholstery,6516870
1  ,2026-05-02,3352,Imported Upholstery,1787114
1  ,2026-05-02,27770,Import Casegoods,4407270
15 ,2026-05-02,8098,Domestic Casegoods,838068
15 ,2026-05-02,22267,Import Casegoods,3299257
15 ,2026-05-02,1711,Imported Upholstery,1025169
15 ,2026-05-02,9091,Domestic Bedding,3251601
15 ,2026-05-02,20,Marketplace,0
15 ,2026-05-02,5559,Import Bedding,1109397
15 ,2026-05-02,16387,Upholstery,4611679
17 ,2026-05-02,5946,Import Bedding,1101204
17 ,2026-05-02,8032,Domestic Bedding,2796270
17 ,2026-05-02,10404,Domestic Casegoods,1025344
17 ,2026-05-02,2920,Imported Upholstery,1764665
17 ,2026-05-02,18222,Upholstery,5358000
17 ,2026-05-02,29090,Import Casegoods,4622544
28 ,2026-05-02,3597,Import Bedding,599449
28 ,2026-05-02,11194,Upholstery,3268562
28 ,2026-05-02,2036,Imported Upholstery,1199329
28 ,2026-05-02,5383,Domestic Casegoods,536546
28 ,2026-05-02,18919,Import Casegoods,2919554
28 ,2026-05-02,5474,Domestic Bedding,1959055
335,2026-05-02,11704,Upholstery,3270296
335,2026-05-02,15,Domestic Casegoods,2209
