Week Ending Date,Weekday,Billable Units,Billable Amount,Billable ASP,Ecommerce Units,Ecommerce Amount,Ecommerce ASP,Total Units,Total Amount,Total ASP,Ecomm %,Unnamed: 12,Ecomm 2 WK,Ecomm 13 WK,Unnamed: 15,Demand Fulfillment Buffer,Unnamed: 17,Unnamed: 18,Unnamed: 19,Demand Fulfillment,Unnamed: 21,Unnamed: 22,Unnamed: 23
2023-12-02,Total,62518,13800892.9,220.7507101954637,9272,1174448.17,126.66610979292493,71790,14975341.07,208.59926271068394,0.1291544783396016,,,,,,,,,,,,
2023-11-25,Total,53835,11323877.2,210.34414785919938,8166,1021607.46,125.10500367376929,62001,12345484.66,199.11750874985887,0.1317075531039822,,,,,,,,,,,,
2023-11-18,Total,66492,14276141.05,214.70464191180895,7577,875446.34,115.53996832519466,74069,15151587.39,204.56044215528763,0.10229650731075078,,,,,,,,,,,,
2023-11-11,Total,62265,13115222.39,210.6355479001044,7969,884852.9,111.03688041159494,70234,14000075.290000001,199.33472805194066,0.11346356465529515,,,,,,,,,,,,
2023-11-04,Total,63996,13406741.62,209.493431151947,6320,702974.37,111.23012183544304,70316,14109715.989999998,200.66152781728195,0.08987997041925024,,,,,,,,,,,,
2023-10-28,Total,63941,13784827.59,215.58667505982078,6919,794274.56,114.79614973262034,70860,14579102.15,205.74516158622637,0.09764324019192774,,,,,,,,,,,,
2023-10-21,Total,61080,12610929.62,206.4657763588736,6202,720740.17,116.21092712028378,67282,13331669.79,198.14615781338247,0.09217918611218454,,,,,,,,,,,,
2023-10-14,Total,63701,13723700.58,215.43932716911823,6459,773435.77,119.74543582597926,70160,14497136.35,206.6296515108324,0.09206100342075256,,,,,,,,,,,,
2023-10-07,Total,59889,12790441.28,213.5691242131276,6642,744431.72,112.07945197229749,66531,13534873.0,203.43708947708586,0.09983316048158002,,,,,,,,,,,,
2023-09-30,Total,59790,13218587.44,221.0835832078943,5658,663191.79,117.21311240721103,65448,13881779.23,212.1039486309742,0.08645031169783646,,,,,,,,,,,,
2023-09-23,Total,53013,11442825.99,215.8494329692717,5893,698525.56,118.53479721703717,58906,12141351.55,206.11400451566905,0.10004074287848437,,,,,,,,,,,,
2023-09-16,Total,66359,14241001.93,214.605433023403,6616,770160.42,116.40876964933496,72975,15011162.35,205.702807125728,0.09066118533744433,,,,,,,,,,,,
2023-09-09,Total,57281,11998933.35,209.4749279865924,9038,1085102.75,120.06005200265545,66319,13084036.1,197.28940575099142,0.13628070387068564,,,,,,,,,,,,
2023-09-02,Total,57715,12263878.1,212.4903075456987,8983,1020569.71,113.611233440944,66698,13284447.809999999,199.17310579027856,0.13468169960118745,,,,,,,,,,,,
2023-08-26,Total,61175,12791031.05,209.08918757662445,6956,860161.65,123.65751150086257,68131,13651192.700000001,200.36683301287226,0.10209742995112357,,,,,,,,,,,,
2023-08-19,Total,55747,11666700.28,209.27942813066173,7388,922940.78,124.92430698429887,63135,12589641.059999999,199.40826894749344,0.11701908608537262,,,,,,,,,,,,
2023-08-12,Total,60452,12757544.68,211.03594058095678,7260,865582.15,119.2261914600551,67712,13623126.83,201.19220861885634,0.10721880907372401,,,,,,,,,,,,
2023-08-05,Total,54135,11488953.25,212.22782395862197,6795,848768.36,124.91072259013981,60930,12337721.61,202.4900969965534,0.11152141802067947,,,,,,,,,,,,
2023-07-29,Total,53048,11688012.79,220.32899996229827,6566,826996.72,125.95137374352726,59614,12515009.51,209.93406766866843,0.11014191297346261,,,,,,,,,,,,
2023-07-29,Sunday,3805,790809.36,207.83426018396847,641,77337.73,120.65168486739469,4446,868147.09,195.26475258659468,0.14417453891138102,,,,,,,,,,,,
2023-07-29,Monday,7882,1742270.03,221.0441550367927,1233,158326.1,128.4072181670722,9115,1900596.1300000001,208.5130148107515,0.13527153044432255,,,,,,,,,,,,
2023-07-29,Tuesday,7965,1816532.09,228.06429252981798,1082,139823.34,129.22674676524954,9047,1956355.4300000002,216.2435536641981,0.11959765668177297,,,,,,,,,,,,
2023-07-29,Wednesday,11281,2464060.46,218.42571225955146,880,119785.41,136.1197840909091,12161,2583845.87,212.46985198585642,0.07236247019159608,,,,,,,,,,,,
2023-07-29,Thursday,8378,1876930.14,224.03081164955836,932,116346.43,124.8352253218884,9310,1993276.5699999998,214.1005982814178,0.10010741138560687,,,,,,,,,,,,
2023-07-29,Friday,7733,1698553.25,219.64997413681624,918,113249.43,123.36539215686274,8651,1811802.68,209.4327453473587,0.10611490001155936,,,,,,,,,,,,
2023-07-29,Saturday,6004,1298857.46,216.3320219853431,880,102128.28,116.05486363636363,6884,1400985.74,203.51332655432887,0.12783265543288785,,,,,,,,,,,,
2023-07-22,Total,51298,11629912.22,226.71278061522867,6499,859297.85,132.22001077088782,57797,12489210.07,216.0875144038618,0.11244528262712597,,,,,,,,,,,,
2023-07-22,Sunday,1544,353821.4,229.1589378238342,714,90950.78,127.38204481792717,2258,444772.18000000005,196.97616474756424,0.31620903454384414,,,,,,,,,,,,
2023-07-22,Monday,8078,2007603.49,248.52729512255507,1656,232359.27,140.3135688405797,9734,2239962.76,230.11739880830078,0.17012533388124101,,,,,,,,,,,,
2023-07-22,Tuesday,9816,2241305.38,228.33184392828034,990,131306.07,132.63239393939395,10806,2372611.4499999997,219.56426522302422,0.09161576901721266,,,,,,,,,,,,
2023-07-22,Wednesday,10121,2259192.36,223.2182946349175,880,111600.33,126.81855681818182,11001,2370792.69,215.50701663485137,0.0799927279338242,,,,,,,,,,,,
2023-07-22,Thursday,10519,2245140.44,213.4366802928035,754,99439.57,131.88271883289124,11273,2344580.01,207.98190455069633,0.0668854785771312,,,,,,,,,,,,
2023-07-22,Friday,6493,1460513.69,224.93665331895886,868,114184.02,131.54841013824884,7361,1574697.71,213.9244273875832,0.11791876103790246,,,,,,,,,,,,
2023-07-22,Saturday,4727,1062335.46,224.73777448698962,637,79457.81,124.73753532182103,5364,1141793.27,212.86228001491423,0.11875466070096942,,,,,,,,,,,,
2023-07-15,Total,52557,11754295.38,223.6485221759233,8779,1357102.62,154.58510308691197,61336,13111398.0,213.76349941306898,0.14312964653710708,,,,,,,,,,,,
2023-07-15,Sunday,686,159402.97,232.36584548104958,704,87914.71,124.8788494318182,1390,247317.68,177.92638848920862,0.5064748201438849,,,,,,,,,,,,
2023-07-15,Monday,8954,1969609.4,219.96977886977885,1398,176520.34,126.26633762517882,10352,2146129.7399999998,207.31546947449766,0.13504636785162288,,,,,,,,,,,,
2023-07-15,Tuesday,10985,2498904.61,227.48335093309058,1122,155859.46,138.91217468805704,12107,2654764.07,219.27513587180968,0.09267365986619311,,,,,,,,,,,,
2023-07-15,Wednesday,10107,2304039.42,227.9647195013357,2053,396661.22,193.2105309303458,12160,2700700.6399999997,222.09709210526313,0.16883223684210527,,,,,,,,,,,,
2023-07-15,Thursday,8637,1881357.37,217.8253293967813,1815,309377.39,170.45586225895318,10452,2190734.7600000002,209.5995752009185,0.17365097588978187,,,,,,,,,,,,
2023-07-15,Friday,6953,1492278.24,214.62365022292536,899,126742.47,140.9816129032258,7852,1619020.71,206.19214340295466,0.11449312277126847,,,,,,,,,,,,
2023-07-15,Saturday,6235,1448703.37,232.35017963111468,788,104027.03,132.01399746192894,7023,1552730.4000000001,221.09218282785136,0.11220276235227111,,,,,,,,,,,,
2023-07-08,Total,51275,10980198.81,214.14332150170648,8225,1092174.4,132.7871610942249,59500,12072373.21,202.89702873949582,0.13823529411764707,,,,,,,,,,,,
2023-07-08,Sunday,2467,496455.56,201.2385731657884,979,122673.08,125.30447395301329,3446,619128.64,179.66588508415555,0.2840975043528729,,,,,,,,,,,,
