Warehouse,Snapshot Week,Storage Type,Total DF%,Avg DF%,Adj Join,%,DF% ,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
28,1,Upholstery,0.987641,0.957687,Casegoods_28_1,39,,,,,,,,,,
28,2,Casegoods,0.935599,0.947298,Casegoods_28_2,61,0.94359105,,,,,,,,,
28,2,Upholstery,0.932046,0.937793,Upholstery_28_2,39,,,,,,,,,,
28,3,Casegoods,0.937566,0.947686,Casegoods_28_3,61,0.93674299,,,,,,,,,
28,3,Upholstery,0.913336,0.919627,Upholstery_28_3,39,,,,,,,,,,
28,4,Casegoods,0.923173,0.932861,Casegoods_28_4,61,0.91142036,,,,,,,,,
28,4,Upholstery,0.86854,0.877885,Upholstery_28_4,39,,,,,,,,,,
28,5,Casegoods,0.748627,0.90127,Upholstery_28_5,61,0.84636853,,,,,,,,,
28,5,Upholstery,0.893096,0.760497,Casegoods_28_5,39,,,,,,,,,,
28,6,Casegoods,0.849745,0.913171,Upholstery_28_6,61,0.89244484,,,,,,,,,
28,6,Upholstery,0.906251,0.860027,Casegoods_28_6,39,,,,,,,,,,
28,7,Casegoods,0.873801,0.927574,Upholstery_28_7,61,0.90956965,,,,,,,,,
28,7,Upholstery,0.92631,0.881409,Casegoods_28_7,39,,,,,,,,,,
28,8,Casegoods,0.858466,0.859181,Casegoods_28_8,61,0.86734877,,,,,,,,,
28,8,Upholstery,0.874383,0.880124,Upholstery_28_8,39,,,,,,,,,,
28,9,Casegoods,0.813943,0.826327,Upholstery_28_9,61,0.8236578400000001,,,,,,,,,
28,9,Upholstery,0.824851,0.819483,Casegoods_28_9,39,,,,,,,,,,
28,10,Casegoods,0.764195,0.816608,Upholstery_28_10,61,0.79865864,,,,,,,,,
28,10,Upholstery,0.814927,0.770584,Casegoods_28_10,39,,,,,,,,,,
28,11,Casegoods,0.828127,0.830543,Casegoods_28_11,61,0.7891023799999999,,,,,,,,,
28,11,Upholstery,0.7163,0.724285,Upholstery_28_11,39,,,,,,,,,,
28,12,Casegoods,0.844065,0.84619,Casegoods_28_12,61,0.80116411,,,,,,,,,
28,12,Upholstery,0.722199,0.730739,Upholstery_28_12,39,,,,,,,,,,
28,13,Casegoods,0.759088,0.856673,Upholstery_28_13,61,0.82198445,,,,,,,,,
28,13,Upholstery,0.853787,0.767728,Casegoods_28_13,39,,,,,,,,,,
28,14,Casegoods,0.860508,0.864292,Casegoods_28_14,61,0.83557552,,,,,,,,,
28,14,Upholstery,0.784153,0.79066,Upholstery_28_14,39,,,,,,,,,,
28,15,Casegoods,0.788999,0.861434,Upholstery_28_15,61,0.83524862,,,,,,,,,
28,15,Upholstery,0.857386,0.794292,Casegoods_28_15,39,,,,,,,,,,
28,16,Casegoods,0.803089,0.860678,Upholstery_28_16,61,0.84006923,,,,,,,,,
28,16,Upholstery,0.855746,0.807835,Casegoods_28_16,39,,,,,,,,,,
28,17,Casegoods,1,0.8567,Upholstery_28_17,61,0.8452675400000002,,,,,,,,,
28,17,Upholstery,1,0.827386,Casegoods_28_17,39,,,,,,,,,,
28,18,Casegoods,1,0.851319,Upholstery_28_18,61,0.84765807,,,,,,,,,
28,18,Upholstery,1,0.841932,Casegoods_28_18,39,,,,,,,,,,
28,19,Casegoods,1,0.85005,Upholstery_28_19,61,0.8556636599999998,,,,,,,,,
28,19,Upholstery,1,0.864444,Casegoods_28_19,39,,,,,,,,,,
28,20,Casegoods,1,0.856797,Upholstery_28_20,61,0.86544603,,,,,,,,,
28,20,Upholstery,1,0.878974,Casegoods_28_20,39,,,,,,,,,,
28,21,Casegoods,1,0.862674,Upholstery_28_21,61,0.8712126599999999,,,,,,,,,
28,21,Upholstery,1,0.884568,Casegoods_28_21,39,,,,,,,,,,
28,22,Casegoods,1,0.865386,Upholstery_28_22,61,0.87228081,,,,,,,,,
28,22,Upholstery,1,0.883065,Casegoods_28_22,39,,,,,,,,,,
28,23,Casegoods,1,0.868713,Upholstery_28_23,61,0.87398619,,,,,,,,,
28,23,Upholstery,1,0.882234,Casegoods_28_23,39,,,,,,,,,,
28,24,Casegoods,1,0.872883,Upholstery_28_24,61,0.87750801,,,,,,,,,
28,24,Upholstery,1,0.884742,Casegoods_28_24,39,,,,,,,,,,
28,25,Casegoods,1,0.874447,Casegoods_28_25,61,0.87947527,,,,,,,,,
28,25,Upholstery,1,0.88734,Upholstery_28_25,39,,,,,,,,,,
28,26,Casegoods,1,0.870426,Casegoods_28_26,61,0.8784093000000002,,,,,,,,,
28,26,Upholstery,1,0.890896,Upholstery_28_26,39,,,,,,,,,,
42,0,Casegoods,0.769813,0.793029,Casegoods_42_0,59,0.7577234899999999,,,,,,,,,
