Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,15,,,,17,,,,28,,,,42,,,,5,,,,ECR,,,,Total Sum of Billable Volume,Total Sum of Billable Invoicing,Total Sum of Ecommerce Volume,Total Sum of Ecommerce Invoicing
DATE,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,,,,
2025-08-02 00:00:00,88428.998,17417199.78,4265,662523.28,49982,11419075.09,9983,1277653.9,57784.021,13465639.78,6162,808419.78,32014.976,7359590.76,4928,744789.21,0,-232.46,0,0,53573.77,12563212.18,8394,1059905.35,94495.407,22612808.74,15065,3008327.13,376279.172,84837293.87,48797,7561618.65
2025-07-26 00:00:00,78778,10252148.12,4497,664787.43,50519,11024859.64,9047,1205524.45,54298.02,12773273.15,5474,774861.43,31757.874,7583219.76,4277,647463.68,0,-3.36,0,0,46600.967,11067637.99,9279,1136026.55,80302.423,19477547.67,14467,2915939.43,342256.284,72178682.97,47041,7344602.97
2025-07-19 00:00:00,80093,16415513.03,4949,668039.75,53318,11611084.55,8756,1112568.32,62251.999,14539452.41,6005,835861.11,32760.984,8018121.42,5008,778209.04,0,-115.3,0,0,49104.9,11996761.32,9334,1227904.51,83425.37,20218501.08,14201,2996230.45,360954.253,82799318.51,48253,7618813.18
2025-07-12 00:00:00,75806,14557905.27,11109,1549386.3,50033,11216518.09,17258,2229271.32,60757.019,13874702.93,10327,1444179.14,28825.012,6958323.97,6188,936912.07,0,-135.41,0,0,50460.839,12192658.55,13700,1886809.54,80430.39,19339243.5,24600,5030753.96,346312.26,78139216.9,83182,13077312.33
2025-07-05 00:00:00,65689,10251996.54,6148,811045.03,45598,10135864.2,14981,1844432.43,45662.04,10406540.92,6793,960232.01,28312.97,6403402.18,4683,672751.84,27,11082.3,0,0,40924.911,9858703.51,11450,1483257.88,69169.336,16841845.39,20535,3980947.39,295383.257,63909435.04,64590,9752666.58
2025-06-28 00:00:00,76197.997,9703907.12,4187,617799.39,42156,9622055.45,12318,1790629.69,51936.023,11833254.98,6219,904395.05,32886,7328163.86,4408,621526.56,0,-145.25,0,0,53570.916,12539217.5,9810,1387206.49,85545.338,20201325.79,13064,2464622.92,342292.274,71227779.45,50006,7786180.1
2025-06-21 00:00:00,77562,14669886.65,4551,664158.92,48333,11047205.43,12567,1840130.02,58455.014,12699447.64,6998,998654.24,32951.964,7569432.19,4071,517879.94,0,-242.39,0,0,53840.809,11821469.22,9213,1432574.09,89339.429,20231089.86,10875,1817929.25,360482.216,78038288.6,48275,7271326.46
2025-06-14 00:00:00,79841.997,14739515.26,5232,714548.16,55053,11477329.08,13046,1676349.3,62339.006,13330288.92,7729,1064969.38,38190.996,8436996.7,5027,664396.11,68,10554.48,0,0,56016.789,12318634.87,9779,1425766.44,90437.42,20900610.8,10821,1836882.91,381947.208,81213930.11,51634,7382912.3
2025-06-07 00:00:00,91603,16862178.49,5716,798292.3,63326,13769127.91,14488,1921493.33,68868.029,15254496.01,8854,1273553.28,38358.003,8695761.65,5759,715290.37,190,48571.99,0,0,64341.732,14533316.93,10678,1530298.82,90670.285,21311040.65,11051,1829420.64,417357.049,90474493.63,56546,8068348.74
2025-05-31 00:00:00,78105,12673907.45,9892,1493048.29,56535,12311958.79,23458,3202565.95,59280.006,13198103.85,14055,2193889.03,35479.01,7862495.7,7841,1083318.84,0,-138.73,0,0,61117.932,14140999.23,20367,3059238.61,88492.339,20381845.94,17546,2874697.71,379009.287,80569172.23,93159,13906758.43
